Fp1:	82.7	29.37
Fpz:	95	-0.1
Fp2:	82.7	-29.47
F7:	53.6	84.04
F3:	39.1	43.78
Fz:	35.5	-0.1
F4:	39.8	-43.88
F8:	53.8	-84.14
FC5:	16.1	77.33
FC1:	9.9	25.08
FC2:	10.5	-25.18
FC6:	16.8	-77.43
M1:	-50.6	134.86
T7:	-13.2	108.68
C3:	-16.2	52.47
Cz:	-16.8	-0.1
C4:	-15.5	-52.57
T8:	-11.9	-108.78
M2:	-51.2	-134.96
CP5:	-43	73.81
CP1:	-39.3	23.98
CP2:	-38.9	-25.08
CP6:	-41.4	-73.91
P7:	-71.9	79.97
P3:	-62.4	40.81
Pz:	-59.8	-0.1
P4:	-61.9	-40.91
P8:	-71.7	-80.07
POz:	-79.7	-0.1
O1:	-103.6	27.83
Oz:	-115	-0.1
O2:	-103.6	-27.93
AF7:	73	58.08
AF3:	63.7	30.14
AF4:	63.3	-30.24
AF8:	73.1	-58.18
F5:	45.2	64.46
F1:	36	21.67
F2:	36.4	-21.77
F6:	45.5	-64.56
FC3:	12.2	51.26
FCz:	9.4	-0.1
FC4:	13	-51.36
C5:	-15.1	79.97
C1:	-16.5	25.85
C2:	-16.3	-25.95
C6:	-14.1	-80.07
CP3:	-40.9	48.51
CPz:	-39.3	-0.1
CP4:	-40.2	-48.61
P5:	-66	60.72
P1:	-60.5	20.02
P2:	-60.1	-20.12
P6:	-65.5	-60.82
PO5:	-86.1	43.45
PO3:	-80.3	31.13
PO4:	-81	-31.23
PO6:	-86.8	-43.55
FT7:	23.5	103.18
FT8:	24.6	-103.28
TP7:	-45.8	99.77
TP8:	-45.5	-99.87
PO7:	-93.8	55.11
PO8:	-93.6	-55.22
