Fp1   	82.7	32.28
AFz   	60.6	-0.1
Fp2   	82.7	-32.38
F7    	53.6	91.92
F3    	39.1	48
Fz    	35.5	-0.1
F4    	39.8	-49.2
F8    	53.8	-91.56
FC5   	16.1	84.6
FC1   	9.9	27.6
FC2   	10.5	-28.32
FC6   	16.8	-85.08
FCC1h 	-3.8	12.36
T7    	-13.2	118.8
C3    	-16.2	57.48
Cz    	-16.8	-0.1
C4    	-15.5	-58.68
T8    	-11.9	-118.56
FCC2h 	-3.8	-15
CP5   	-43	80.76
CP1   	-39.3	26.4
CP2   	-38.9	-27.84
CP6   	-41.4	-81.48
P7    	-76.9	87.48
P3    	-66.4	44.76
Pz    	-63.8	-0.12
P4    	-66.4	-45.72
P8    	-76.7	-87.36
POz   	-79.7	-0.1
O1    	-104.6	30.6
O2    	-104.6	-30.48
GND   	82.7	-0.1
FCC3h 	-3.1	43.08
AF3   	63.7	33.12
AF4   	63.3	-34.32
FCC4h 	-2.6	-44.04
F5    	45.2	70.56
F1    	36	23.88
F2    	36.4	-25.44
F6    	45.5	-71.28
FC3   	12.2	56.16
FCz   	9.4	-0.1
FC4   	13	-57
C5    	-15.1	87.48
C1    	-16.5	28.44
C2    	-16.3	-29.64
C6    	-14.1	-87.6
CP3   	-40.9	53.16
CP4   	-40.2	-54.24
P5    	-70	66.48
P1    	-65.5	22.08
P2    	-65.1	-23.28
P6    	-70.5	-67.08
CCP1h 	-28.5	13.44
PO3   	-87.3	31.2
PO4   	-88	-31.3
CCP2h 	-28.4	-14.76
FT7   	23.5	112.8
FT8   	24.6	-112.08
TP7   	-45.8	109.08
TP8   	-45.5	-108.84
CCP3h 	-28.7	41.4
CCP4h 	-28.1	-42.72
Oz    	-106	-0.1
CPz		-39.3	-0.1
